Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg),pH,Organic Matter (%),Crop Type,Fertilizer Recommendations
29.144612006761804,37.96040014531759,34.088045298270316,4.982296443563914,4.180386258236492,Vegetables,"[{'type': 'solid', 'name': 'Organic Compost', 'amount': 2.0, 'unit': 'kg/m²', 'frequency': 'monthly'}]"
43.68123267304729,18.418538055989877,41.45194992400545,5.707531867711014,4.594890737932067,Rice,"[{'type': 'solid', 'name': 'Organic Compost', 'amount': 2.97, 'unit': 'kg/m²', 'frequency': 'monthly'}, {'type': 'liquid', 'name': 'Wound Vinegar', 'amount': 0.97, 'unit': 'L/m²', 'frequency': 'bi-weekly'}, {'type': 'liquid', 'name': 'Fish Emulsion', 'amount': 0.99, 'unit': 'L/m²', 'frequency': 'bi-weekly'}, {'type': 'liquid', 'name': 'Seaweed Extract', 'amount': 0.95, 'unit': 'L/m²', 'frequency': 'weekly'}]"
42.243294371786,39.197714142448056,46.73728270087599,6.7633065698556045,4.5918172727161775,Corn,"[{'type': 'solid', 'name': 'Organic Compost', 'amount': 2.98, 'unit': 'kg/m²', 'frequency': 'monthly'}, {'type': 'liquid', 'name': 'OHN Calpus', 'amount': 1.73, 'unit': 'L/m²', 'frequency': 'weekly'}, {'type': 'liquid', 'name': 'Wound Vinegar', 'amount': 0.91, 'unit': 'L/m²', 'frequency': 'bi-weekly'}, {'type': 'liquid', 'name': 'Calcium Phosphate', 'amount': 1.57, 'unit': 'L/m²', 'frequency': 'monthly'}, {'type': 'liquid', 'name': 'Fish Emulsion', 'amount': 0.57, 'unit': 'L/m²', 'frequency': 'bi-weekly'}, {'type': 'liquid', 'name': 'Seaweed Extract', 'amount': 0.77, 'unit': 'L/m²', 'frequency': 'weekly'}]"
45.870011974640015,26.52905056236925,24.66889516087111,6.073076942744993,1.4435282313575537,Corn,"[{'type': 'solid', 'name': 'FFJ Fermented Plant', 'amount': 2.61, 'unit': 'kg/m²', 'frequency': 'monthly'}, {'type': 'solid', 'name': 'Vermi Compost', 'amount': 4.14, 'unit': 'kg/m²', 'frequency': 'quarterly'}, {'type': 'solid', 'name': 'Organic Compost', 'amount': 3.13, 'unit': 'kg/m²', 'frequency': 'monthly'}, {'type': 'solid', 'name': 'Blood Meal', 'amount': 1.82, 'unit': 'kg/m²', 'frequency': 'monthly'}, {'type': 'liquid', 'name': 'OHN Calpus', 'amount': 1.84, 'unit': 'L/m²', 'frequency': 'weekly'}, {'type': 'liquid', 'name': 'Wound Vinegar', 'amount': 0.56, 'unit': 'L/m²', 'frequency': 'bi-weekly'}, {'type': 'liquid', 'name': 'Calcium Phosphate', 'amount': 1.21, 'unit': 'L/m²', 'frequency': 'monthly'}, {'type': 'liquid', 'name': 'Fish Emulsion', 'amount': 0.67, 'unit': 'L/m²', 'frequency': 'bi-weekly'}, {'type': 'liquid', 'name': 'Seaweed Extract', 'amount': 0.69, 'unit': 'L/m²', 'frequency': 'weekly'}]"
23.022626040787863,7.257582995398812,106.81952619254947,7.056966891238551,0.698423842380114,Fruits,"[{'type': 'solid', 'name': 'Vermi Compost', 'amount': 4.02, 'unit': 'kg/m²', 'frequency': 'quarterly'}, {'type': 'solid', 'name': 'Organic Compost', 'amount': 2.91, 'unit': 'kg/m²', 'frequency': 'monthly'}, {'type': 'liquid', 'name': 'Calcium Phosphate', 'amount': 1.24, 'unit': 'L/m²', 'frequency': 'monthly'}, {'type': 'liquid', 'name': 'Fish Emulsion', 'amount': 0.57, 'unit': 'L/m²', 'frequency': 'bi-weekly'}, {'type': 'liquid', 'name': 'Seaweed Extract', 'amount': 0.77, 'unit': 'L/m²', 'frequency': 'weekly'}]"
55.776119675051724,37.08251835703667,24.91923457168255,5.525183093964494,2.107459342405595,Fruits,"[{'type': 'solid', 'name': 'FFJ Fermented Plant', 'amount': 3.3, 'unit': 'kg/m²', 'frequency': 'monthly'}, {'type': 'solid', 'name': 'FFJ Fermented Juice Plant', 'amount': 2.78, 'unit': 'kg/m²', 'frequency': 'bi-weekly'}, {'type': 'solid', 'name': 'Organic Compost', 'amount': 3.3, 'unit': 'kg/m²', 'frequency': 'monthly'}, {'type': 'liquid', 'name': 'Wound Vinegar', 'amount': 0.65, 'unit': 'L/m²', 'frequency': 'bi-weekly'}, {'type': 'liquid', 'name': 'Fish Emulsion', 'amount': 1.04, 'unit': 'L/m²', 'frequency': 'bi-weekly'}, {'type': 'liquid', 'name': 'Seaweed Extract', 'amount': 0.72, 'unit': 'L/m²', 'frequency': 'weekly'}]"
55.943030381619366,7.420351771533621,64.45468675280624,5.794477056142352,4.360015748549598,Corn,"[{'type': 'solid', 'name': 'Organic Compost', 'amount': 3.66, 'unit': 'kg/m²', 'frequency': 'monthly'}, {'type': 'liquid', 'name': 'Wound Vinegar', 'amount': 0.77, 'unit': 'L/m²', 'frequency': 'bi-weekly'}, {'type': 'liquid', 'name': 'Fish Emulsion', 'amount': 1.19, 'unit': 'L/m²', 'frequency': 'bi-weekly'}, {'type': 'liquid', 'name': 'Seaweed Extract', 'amount': 0.61, 'unit': 'L/m²', 'frequency': 'weekly'}]"
47.69100443682342,27.448565777843232,92.99723020735517,4.864255382675294,1.8709938181135837,Rice,"[{'type': 'solid', 'name': 'Organic Compost', 'amount': 2.0, 'unit': 'kg/m²', 'frequency': 'monthly'}]"
16.806956440805614,33.676095851857866,84.83290621317005,6.7160498910991,2.2060484158062827,Vegetables,"[{'type': 'solid', 'name': 'FFJ Fermented Plant', 'amount': 2.92, 'unit': 'kg/m²', 'frequency': 'monthly'}, {'type': 'solid', 'name': 'FFJ Fermented Juice Plant', 'amount': 1.32, 'unit': 'kg/m²', 'frequency': 'bi-weekly'}, {'type': 'solid', 'name': 'Vermi Compost', 'amount': 3.37, 'unit': 'kg/m²', 'frequency': 'quarterly'}, {'type': 'solid', 'name': 'Organic Compost', 'amount': 3.72, 'unit': 'kg/m²', 'frequency': 'monthly'}, {'type': 'solid', 'name': 'Blood Meal', 'amount': 1.27, 'unit': 'kg/m²', 'frequency': 'monthly'}, {'type': 'liquid', 'name': 'OHN Calpus', 'amount': 1.4, 'unit': 'L/m²', 'frequency': 'weekly'}, {'type': 'liquid', 'name': 'Wound Vinegar', 'amount': 0.78, 'unit': 'L/m²', 'frequency': 'bi-weekly'}, {'type': 'liquid', 'name': 'Calcium Phosphate', 'amount': 1.76, 'unit': 'L/m²', 'frequency': 'monthly'}, {'type': 'liquid', 'name': 'Fish Emulsion', 'amount': 0.62, 'unit': 'L/m²', 'frequency': 'bi-weekly'}, {'type': 'liquid', 'name': 'Seaweed Extract', 'amount': 0.58, 'unit': 'L/m²', 'frequency': 'weekly'}]"
56.75762292338014,13.59527922151122,43.773353415142864,4.6882374459385545,1.1584570783312682,Fruits,"[{'type': 'solid', 'name': 'Organic Compost', 'amount': 2.0, 'unit': 'kg/m²', 'frequency': 'monthly'}]"
