date,year,month,day,day_of_year,day_of_week,is_weekend,month_sin,month_cos,day_sin,day_cos,temperature_max_lag1,temperature_max_lag2,temperature_max_lag3,temperature_max_lag7,temperature_max_rolling3,temperature_max_rolling7,temperature_max_rolling14,temperature_max_rolling30,temperature_min_lag1,temperature_min_lag2,temperature_min_lag3,temperature_min_lag7,temperature_min_rolling3,temperature_min_rolling7,temperature_min_rolling14,temperature_min_rolling30,rainfall_lag1,rainfall_lag2,rainfall_lag3,rainfall_lag7,rainfall_rolling3,rainfall_rolling7,rainfall_rolling14,rainfall_rolling30,precipitation_hours_lag1,precipitation_hours_lag2,precipitation_hours_lag3,precipitation_hours_lag7,precipitation_hours_rolling3,precipitation_hours_rolling7,precipitation_hours_rolling14,precipitation_hours_rolling30,snowfall_lag1,snowfall_lag2,snowfall_lag3,snowfall_lag7,snowfall_rolling3,snowfall_rolling7,snowfall_rolling14,snowfall_rolling30,wind_speed_lag1,wind_speed_lag2,wind_speed_lag3,wind_speed_lag7,wind_speed_rolling3,wind_speed_rolling7,wind_speed_rolling14,wind_speed_rolling30,cloud_cover_lag1,cloud_cover_lag2,cloud_cover_lag3,cloud_cover_lag7,cloud_cover_rolling3,cloud_cover_rolling7,cloud_cover_rolling14,cloud_cover_rolling30,humidity_lag1,humidity_lag2,humidity_lag3,humidity_lag7,humidity_rolling3,humidity_rolling7,humidity_rolling14,humidity_rolling30,pressure_lag1,pressure_lag2,pressure_lag3,pressure_lag7,pressure_rolling3,pressure_rolling7,pressure_rolling14,pressure_rolling30,temperature_max,temperature_min,rainfall,precipitation_hours,snowfall,wind_speed,cloud_cover,humidity,pressure,date_str
2025-05-05 00:05:17.890358,2025,5,5,125,0,0,0.49999999999999994,-0.8660254037844387,0.8359254794186372,-0.548842958284719,28.5,25.3,30.2,29.4,28.0,28.97142857142857,28.378571428571426,28.663333333333334,24.2,24.2,23.9,23.4,24.099999999999998,23.728571428571424,23.185714285714283,23.240000000000002,7.6,7.6,45.2,0.9,20.133333333333336,9.957142857142857,20.96428571428572,21.060000000000002,0.0,9.0,15.0,3.0,8.0,8.857142857142858,13.428571428571429,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,10.5,16.1,14.4,12.766666666666666,13.514285714285716,14.02142857142857,13.79,87.0,87.0,77.0,58.0,83.66666666666667,71.71428571428571,82.5,79.83333333333333,85.0,85.0,83.0,78.0,84.33333333333333,81.42857142857143,84.42857142857143,85.5,1002.9,1002.9,1001.4,1003.4,1002.4,1001.9285714285713,1004.2571428571428,1004.4166666666667,28.35290956325986,24.006,0.0,9.99,0.0,11.82169164234966,77.5002302298615,84.94,1003.0829170400073,05-05
2025-05-06 00:05:17.890358,2025,5,6,126,1,0,0.49999999999999994,-0.8660254037844387,0.8263541987239096,-0.5631507242749186,28.35290956325986,28.5,0.0,0.0,27.384303187753286,28.821844223322838,28.360922111661417,28.691763652108662,24.006,24.2,0.0,0.0,24.135333333333335,23.81514285714286,23.250428571428568,23.2702,0.0,7.6,0.0,0.0,5.066666666666666,9.828571428571427,19.871428571428574,19.233333333333338,9.99,0.0,0.0,0.0,6.330000000000001,9.855714285714285,12.999285714285715,14.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.82169164234966,11.7,0.0,0.0,11.34056388078322,13.145955948907096,14.080120831596403,13.717389721411655,77.5002302298615,87.0,0.0,0.0,83.8334100766205,74.5000328899802,82.17858787356154,79.2166743409954,84.94,85.0,0.0,0.0,84.98,82.42,84.49571428571429,85.33133333333333,1003.0829170400073,1002.9,0.0,0.0,1002.9609723466691,1001.8832738628581,1004.1916369314289,1004.3294305680005,28.253467224464544,23.903000000000006,0.0,11.71,0.0,11.77646992171336,77.8118650643362,84.5,1002.9595827659488,05-06
2025-05-07 00:05:17.890358,2025,5,7,127,2,0,0.49999999999999994,-0.8660254037844387,0.8165380514459161,-0.5772916165517272,28.253467224464544,28.35290956325986,28.5,0.0,28.3687922625748,28.65805382681777,28.329026913408885,28.64354589292415,23.903000000000006,24.006,24.2,0.0,24.036333333333335,23.87271428571429,23.286357142857145,23.3003,0.0,0.0,7.6,0.0,2.533333333333333,9.700000000000001,17.892857142857142,18.89666666666667,11.71,9.99,0.0,0.0,7.233333333333334,10.671428571428573,12.621428571428572,14.656666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77646992171336,11.82169164234966,11.7,0.0,11.766053854687675,13.07116593772329,13.964154397433072,13.786605385468768,77.8118650643362,77.5002302298615,87.0,0.0,80.77069843139924,79.18744218488538,81.23657823529983,79.67706984313993,84.5,84.94,85.0,0.0,84.81333333333333,83.34857142857143,84.17428571428572,85.248,1002.9595827659488,1003.0829170400073,1002.9,0.0,1002.980833268652,1002.148928543708,1004.0101785575681,1004.2914166601987,28.326264481220168,24.05100000000001,0.0,11.19,0.0,11.77411025460765,76.78689014846866,84.56,1003.0926611073986,05-07
2025-05-08 00:05:17.890358,2025,5,8,128,3,0,0.49999999999999994,-0.8660254037844387,0.8064799463209448,-0.5912614448635781,28.326264481220168,28.253467224464544,28.35290956325986,0.0,28.310880422981523,28.418948752706367,28.3237600906389,28.634421375631486,24.05100000000001,23.903000000000006,24.006,0.0,23.986666666666668,24.080000000000005,23.354285714285712,23.31866666666667,0.0,0.0,0.0,0.0,0.0,9.285714285714286,13.921428571428569,17.416666666666668,11.19,11.71,9.99,0.0,10.963333333333333,10.27,11.920714285714286,14.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77411025460765,11.77646992171336,11.82169164234966,0.0,11.790757272890223,12.91032454552438,13.719447987047904,13.61574239395569,76.78689014846866,77.8118650643362,77.5002302298615,0.0,77.3663284808888,80.58556934895232,79.7213561030476,78.90329951475556,84.56,84.5,84.94,0.0,84.66666666666667,84.42857142857143,83.78571428571429,84.96666666666667,1003.0926611073986,1002.9595827659488,1003.0829170400073,0.0,1003.0450536377849,1002.4478801304792,1003.752511493811,1004.277838697112,28.31401366727798,24.10599999999999,0.0,10.84,0.0,11.749179075906165,75.90583548793259,84.87,1003.2948339794026,05-08
2025-05-09 00:05:17.890358,2025,5,9,129,4,0,0.49999999999999994,-0.8660254037844387,0.7961828637826158,-0.6050560696488488,28.31401366727798,28.326264481220168,28.253467224464544,0.0,28.297915124320895,28.178093562317507,28.453332495444467,28.618221831207418,24.10599999999999,24.05100000000001,23.903000000000006,0.0,24.02,24.052285714285716,23.426142857142853,23.338866666666668,0.0,0.0,0.0,0.0,0.0,8.62857142857143,10.228571428571428,17.283333333333335,10.84,11.19,11.71,0.0,11.246666666666664,9.675714285714287,10.980714285714285,14.057666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.749179075906165,11.77411025460765,11.77646992171336,0.0,11.766586417409059,12.203064413510976,13.430103635326915,13.560715029819228,75.90583548793259,76.78689014846866,77.8118650643362,0.0,76.83486356691249,79.85783156151413,78.0717729236142,78.7668273643533,84.87,84.56,84.5,0.0,84.64333333333333,84.55285714285715,83.205,84.86233333333332,1003.2948339794026,1003.0926611073986,1002.9595827659488,0.0,1003.1156926175832,1002.8042849846796,1003.4235710637682,1004.3043331630921,28.30249043383418,24.09599999999999,0.0,10.59,0.0,11.697363850273835,75.33821262497194,84.8,1003.1970384217827,05-09
2025-05-10 00:05:17.890358,2025,5,10,130,5,1,0.49999999999999994,-0.8660254037844387,0.7856498550787147,-0.6186714032625031,28.30249043383418,28.31401366727798,28.326264481220168,0.0,28.314256194110772,27.90702076715096,28.596367526432626,28.584971512335226,24.09599999999999,24.10599999999999,24.05100000000001,0.0,24.08433333333333,24.080285714285715,23.540142857142854,23.352066666666666,0.0,0.0,0.0,0.0,0.0,2.1714285714285713,6.021428571428571,17.226666666666667,10.59,10.84,11.19,0.0,10.873333333333335,9.045714285714286,10.022857142857143,14.043999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.697363850273835,11.749179075906165,11.77411025460765,0.0,11.740217726929217,11.574116392121525,13.208486767489333,13.530627158161689,75.33821262497194,75.90583548793259,76.78689014846866,0.0,76.01031275379107,79.62043336508155,76.31021668254077,78.17810111851902,84.8,84.87,84.56,0.0,84.74333333333334,84.80999999999999,82.54785714285713,84.92233333333334,1003.1970384217827,1003.2948339794026,1003.0926611073986,0.0,1003.1948445028614,1003.06100475922,1003.0447880938956,1004.3209011104847,28.29236418233136,24.063999999999993,0.0,10.28,0.0,11.63623616773331,74.8899597486639,84.65,1003.0912637310307,05-10
2025-05-11 00:05:17.890358,2025,5,11,131,6,1,0.49999999999999994,-0.8660254037844387,0.7748840413670407,-0.6321034111873487,28.29236418233136,28.30249043383418,28.31401366727798,0.0,28.302956094481175,28.33450136462687,28.617250682313436,28.541383651746273,24.063999999999993,24.09599999999999,24.10599999999999,0.0,24.088666666666658,24.060857142857145,23.694714285714287,23.387533333333334,0.0,0.0,0.0,0.0,0.0,1.0857142857142856,5.292857142857143,17.01,10.28,10.59,10.84,0.0,10.57,9.22857142857143,9.757142857142856,13.95333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.63623616773331,11.697363850273835,11.749179075906165,0.0,11.694259697971104,11.736435844654855,12.896789350898855,13.4751683637528,74.8899597486639,75.33821262497194,75.90583548793259,0.0,75.3780026205228,77.89042761489068,75.15949952173105,77.77443311014116,84.65,84.8,84.87,0.0,84.77333333333334,84.76,82.80857142857144,84.97733333333333,1003.0912637310307,1003.1970384217827,1003.2948339794026,0.0,1003.1943787107388,1003.0883281493672,1002.7227355032549,1004.2939432348523,28.321491269696605,24.104999999999997,0.0,10.45,0.0,11.605059820034967,74.53563604641771,84.55,1003.0912637310307,05-11
2025-05-12 00:05:17.890358,2025,5,12,132,0,0,0.49999999999999994,-0.8660254037844387,0.7638886127905428,-0.6453481132295501,28.321491269696605,28.29236418233136,28.30249043383418,28.35290956325986,28.305448628620713,28.309000117440668,28.64021434443462,28.54876669406949,24.104999999999997,24.063999999999993,24.09599999999999,24.006,24.088333333333328,24.047285714285714,23.887928571428574,23.424366666666668,0.0,0.0,0.0,0.0,0.0,0.0,4.978571428571429,14.863333333333333,10.45,10.28,10.59,9.99,10.44,10.721428571428573,9.789285714285715,13.534999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.605059820034967,11.63623616773331,11.697363850273835,11.82169164234966,11.646219946014037,11.722872961802707,12.61857933804421,13.405337024420634,74.53563604641771,74.8899597486639,75.33821262497194,77.5002302298615,74.92126947335119,76.10980419295036,73.91204495361804,77.65895431168842,84.55,84.65,84.8,84.94,84.66666666666667,84.69571428571429,83.06214285714285,84.72900000000001,1003.0912637310307,1003.0912637310307,1003.1970384217827,1003.0829170400073,1003.1265219612815,1003.1156515395144,1002.522111484043,1004.2769853592201,28.326970443545218,24.16999999999999,0.0,9.53,0.0,11.570727677292028,74.97510794372958,84.54,1002.8887226628138,05-12
2025-05-13 00:05:17.890358,2025,5,13,133,1,0,0.49999999999999994,-0.8660254037844387,0.7526668275320085,-0.6584015846980488,28.326970443545218,28.321491269696605,28.29236418233136,28.253467224464544,28.31360863185773,28.305294528910004,28.563569376116423,28.519665708854333,24.16999999999999,24.104999999999997,24.063999999999993,23.903000000000006,24.112999999999996,24.07071428571428,23.942928571428578,23.44003333333333,0.0,0.0,0.0,0.0,0.0,0.0,4.914285714285714,13.770000000000001,9.53,10.45,10.28,11.71,10.086666666666666,10.655714285714286,10.255714285714287,13.119333333333328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.570727677292028,11.605059820034967,11.63623616773331,11.77646992171336,11.604007888353435,11.687020966794472,12.416488457850786,13.311027946997033,74.97510794372958,74.53563604641771,74.8899597486639,77.8118650643362,74.80023457960374,75.74907243778866,75.12455266388443,77.02479124314605,84.54,84.55,84.65,84.5,84.58,84.63857142857144,83.5292857142857,84.58033333333334,1002.8887226628138,1003.0912637310307,1003.0912637310307,1002.9595827659488,1003.0237500416251,1003.0879094856298,1002.4855916742438,1004.2232761146472,28.322273103179025,24.194999999999997,0.0,9.2,0.0,11.53042952715532,75.02500461275135,84.46,1002.5720136945245,05-13
2025-05-14 00:05:17.890358,2025,5,14,134,2,0,0.49999999999999994,-0.8660254037844387,0.7412220108485958,-0.6712599575675313,28.322273103179025,28.326970443545218,28.321491269696605,28.326264481220168,28.32357827214028,28.31512394015493,28.486588883486355,28.550408145626964,24.194999999999997,24.16999999999999,24.104999999999997,24.05100000000001,24.156666666666663,24.112428571428563,23.992571428571434,23.459866666666663,0.0,0.0,0.0,0.0,0.0,0.0,4.8500000000000005,12.253333333333332,9.2,9.53,10.45,11.19,9.726666666666665,10.297142857142859,10.484285714285715,12.625999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.53042952715532,11.570727677292028,11.605059820034967,11.77411025460765,11.56873900816077,11.651872339000468,12.36151913836188,13.27204226456888,75.02500461275135,74.97510794372958,74.53563604641771,76.78689014846866,74.84524953429955,75.35094951613368,77.26919585050952,76.19229139690444,84.46,84.54,84.55,84.56,84.51666666666667,84.63285714285715,83.99071428571428,84.22900000000001,1002.5720136945245,1002.8887226628138,1003.0912637310307,1003.0926611073986,1002.850666696123,1003.0325424754263,1002.5907355095669,1004.082343237798,28.319162070990316,24.22599999999999,0.0,8.91,0.0,11.483608254737284,75.21215245756832,83.69,1002.418247733117,05-14
